period,pair,left_duty_type,right_duty_type,left_raw,right_raw,raw_delta,left_matched,right_matched,matched_delta,left_skipped,right_skipped,reference_left,reference_right,reference_delta,status
2025-01,caesar,CAESAR_A_12HR,CAESAR_B_24HR,19,29,-10,17,29,-12,2,0,29,0,29,source_or_rule_mismatch
2025-02,caesar,CAESAR_A_12HR,CAESAR_B_24HR,28,28,0,28,28,0,0,0,28,28,0,balanced
2025-03,caesar,CAESAR_A_12HR,CAESAR_B_24HR,31,31,0,31,31,0,0,0,31,31,0,balanced
2025-04,caesar,CAESAR_A_12HR,CAESAR_B_24HR,30,30,0,30,30,0,0,0,30,30,0,balanced
2025-05,caesar,CAESAR_A_12HR,CAESAR_B_24HR,31,31,0,29,31,-2,2,0,31,31,0,balanced
2025-06,caesar,CAESAR_A_12HR,CAESAR_B_24HR,30,30,0,30,30,0,0,0,30,30,0,balanced
2025-07,caesar,CAESAR_A_12HR,CAESAR_B_24HR,31,31,0,31,31,0,0,0,31,31,0,balanced
2025-08,caesar,CAESAR_A_12HR,CAESAR_B_24HR,31,31,0,31,31,0,0,0,31,31,0,balanced
2025-09,caesar,CAESAR_A_12HR,CAESAR_B_24HR,30,30,0,30,30,0,0,0,30,30,0,balanced
2025-10,caesar,CAESAR_A_12HR,CAESAR_B_24HR,31,31,0,31,31,0,0,0,31,31,0,balanced
2025-11,caesar,CAESAR_A_12HR,CAESAR_B_24HR,22,30,-8,21,30,-9,1,0,22,30,-8,source_or_rule_mismatch
2025-12,caesar,CAESAR_A_12HR,CAESAR_B_24HR,25,21,4,24,21,3,1,0,25,21,4,source_or_rule_mismatch
2026-01,caesar,CAESAR_A_12HR,CAESAR_B_24HR,19,27,-8,19,27,-8,0,0,19,27,-8,source_or_rule_mismatch
2026-02,caesar,CAESAR_A_12HR,CAESAR_B_24HR,28,20,8,27,20,7,1,0,28,20,8,source_or_rule_mismatch
2026-03,caesar,CAESAR_A_12HR,CAESAR_B_24HR,31,22,9,30,22,8,1,0,31,22,9,source_or_rule_mismatch
2026-04,caesar,CAESAR_A_12HR,CAESAR_B_24HR,30,21,9,30,21,9,0,0,30,21,9,source_or_rule_mismatch
2026-05,caesar,CAESAR_A_12HR,CAESAR_B_24HR,21,31,-10,21,31,-10,0,0,21,31,-10,source_or_rule_mismatch
